MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
5637549,150102493,01/10/2016,01/10/2016,22:00:00,01/10/2016,22:00:00,511,,,78 MARIETTA ST,0512,2203,,1,Eve,Sun,21,BURGLARY-NONRES,Downtown,M,-84.394869999999997,33.757570000000001
5641270,150611492,03/01/2016,02/25/2016,12:00:00,02/29/2016,19:00:00,412,,,2001 AUSTIN RD SW,0670,2308,,1,Unk,Unk,20,LARCENY-NON VEHICLE,Vine City,L,-84.414109999999994,33.758229999999998
5648012,151471800,05/26/2016,05/26/2016,08:30:00,05/26/2016,13:00:00,206,,,2980 PIEDMONT RD,0670,2308,,1,Day,Thu,99,LARCENY-NON VEHICLE,Blandtown,D,-84.425610000000006,33.800579999999997
5659772,152792664,01/13/2016,10/06/2015,20:00:00,10/06/2015,20:25:00,210,,,3393 PEACHTREE RD NE,0630,2303,,1,Eve,Tue,8,LARCENY-NON VEHICLE,Lenox,B,-84.362120000000004,33.846760000000003
5664938,153412960,01/13/2016,12/07/2015,21:00:00,12/07/2015,21:05:00,208,,,3402 PIEDMONT RD NE,0640,2305,,1,Eve,Mon,24,LARCENY-FROM VEHICLE,Buckhead Forest,B,-84.373850000000004,33.847549999999998
5665283,153460454,01/22/2016,12/12/2015,03:00:00,12/12/2015,03:11:00,208,,,3398 PIEDMONT RD NE,0640,2305,,1,Morn,Sat,18,LARCENY-FROM VEHICLE,Buckhead Forest,B,-84.373850000000004,33.847119999999997
5666794,153652888,01/01/2016,12/31/2015,23:05:00,01/01/2016,00:50:00,313,,22,800 HUTCHENS RD SE @APS SOUTH ATLANTA HS,0410,1314,,1,Morn,Thu,13,AGG ASSAULT,South River Gardens,Z,-84.361869999999996,33.671019999999999
5666797,160010061,01/01/2016,01/01/2016,00:03:00,01/01/2016,00:09:00,403,,,1316 AVON AVE SW,0410,1314,,2,Morn,Fri,20,AGG ASSAULT,Venetian Hills,S,-84.431070000000005,33.722090000000001
5666798,160010074,01/01/2016,12/31/2015,22:30:00,01/01/2016,00:14:00,206,,,3121 MAPLE DR NE,0640,2305,,1,Morn,Thu,18,LARCENY-FROM VEHICLE,Buckhead Village,B,-84.371849999999995,33.840319999999998
5666799,160010102,01/01/2016,12/31/2015,23:00:00,12/31/2015,23:30:00,404,,,1685 RALPH D ABERNATHY BLVD SW,0640,2305,,2,Morn,Thu,23,LARCENY-FROM VEHICLE,,I,-84.442499999999995,33.748510000000003
5666800,160010159,01/01/2016,12/31/2015,23:00:00,01/01/2016,00:30:00,305,,,1582 BENJAMIN W BICKERS DR SE,0640,2305,,2,Morn,Thu,4,LARCENY-FROM VEHICLE,The Villages at Carver,Y,-84.388260000000002,33.711930000000002
5666801,160010285,01/01/2016,12/30/2015,10:00:00,01/01/2016,01:30:00,102,,,871 SPENCER ST NW,0511,2202,,1,Unk,Unk,20,BURGLARY-RESIDENCE,Vine City,L,-84.416030000000006,33.759920000000001
5666802,160010495,01/01/2016,01/01/2016,00:01:00,01/01/2016,02:10:00,312,,,460 BELGARDE PL SE,0430,1315,,1,Morn,Fri,,AGG ASSAULT,Orchard Knob,Z,-84.37527,33.66433
5666803,160010502,01/01/2016,01/01/2016,02:10:00,01/01/2016,02:15:00,503,,,1150 CRESCENT AVE NE,0720,2424,,0,Morn,Fri,13,AUTO THEFT,Midtown,E,-84.384370000000004,33.786009999999997
5666804,160010568,01/01/2016,01/01/2016,03:37:00,01/01/2016,03:37:00,602,,,820 RALPH MC GILL NE,0640,2305,,1,Morn,Fri,,LARCENY-FROM VEHICLE,Poncey-Highland,N,-84.361490000000003,33.768799999999999
5666805,160010583,01/01/2016,01/01/2016,02:30:00,01/01/2016,02:45:00,208,,1413,3380 PEACHTREE RD NE,0210,1103,20,1,Morn,Fri,,RAPE,North Buckhead,B,-84.365970000000004,33.84892
5666806,160010606,01/01/2016,01/01/2016,01:00:00,01/01/2016,02:57:00,501,,,760 10TH ST,0640,2305,,2,Morn,Fri,13,LARCENY-FROM VEHICLE,Home Park,E,-84.412660000000002,33.781399999999998
5666807,160010621,01/02/2016,01/01/2016,00:30:00,01/01/2016,01:30:00,309,,,2608 METROPOLITAN PKWY,0640,2305,,1,Morn,Fri,,LARCENY-FROM VEHICLE,Perkerson,X,-84.407219999999995,33.683790000000002
5666808,160010669,01/01/2016,01/01/2016,00:05:00,01/01/2016,03:00:00,604,,,474 CHAMBERLAIN ST SE,0710,2404,,1,Morn,Fri,,AUTO THEFT,Sweet Auburn,M,-84.372200000000007,33.753830000000001
5666809,160010680,01/01/2016,01/01/2016,02:35:00,01/01/2016,03:30:00,505,,,61 NORTH AVE NE,0640,2305,,1,Morn,Fri,18,LARCENY-FROM VEHICLE,Downtown,M,-84.38476,33.771189999999997
5666810,160010727,01/01/2016,12/31/2015,23:00:00,01/01/2016,04:00:00,509,,,714 SPRING ST NW,0640,2305,,3,Morn,Fri,18,LARCENY-FROM VEHICLE,Midtown,E,-84.389219999999995,33.774250000000002
5666811,160010772,01/01/2016,01/01/2016,03:50:00,01/01/2016,04:17:00,507,,6,350 PETERS ST SW,0331,1205,,1,Morn,Fri,13,ROBBERY-PEDESTRIAN,Castleberry Hill,M,-84.404060000000001,33.745199999999997
5666812,160010848,01/01/2016,01/01/2016,05:00:00,01/01/2016,05:20:00,407,,,3534 MARTIN L KING JR DR SW,0420,1315K,,2,Morn,Fri,18,AGG ASSAULT,Adamsville,H,-84.503439999999998,33.757710000000003
5666813,160010849,01/01/2016,01/01/2016,05:03:00,01/01/2016,05:03:00,603,,4,520 BOULEVARD NE,0410,1314,,1,Morn,Fri,26,AGG ASSAULT,Old Fourth Ward,M,-84.371979999999994,33.768459999999997
5666814,160011010,01/01/2016,01/01/2016,05:00:00,01/01/2016,08:04:00,409,,,2997 CAMPBELLTON RD SW,0640,2305,,1,Morn,Fri,3,LARCENY-FROM VEHICLE,Southwest,R,-84.486230000000006,33.695959999999999
5666815,160011078,01/01/2016,01/01/2016,06:00:00,01/01/2016,09:00:00,406,,20,1130 DOLPHIN DR SW,0511,2202,,1,Day,Fri,26,BURGLARY-RESIDENCE,Cascade Avenue/Road,S,-84.461640000000003,33.723979999999997
5666816,160011130,01/01/2016,12/31/2015,22:00:00,01/01/2016,06:00:00,206,,,360 PHARR RD NE,0710,2404,,1,Morn,Fri,26,AUTO THEFT,Buckhead Village,B,-84.375739999999993,33.837519999999998
5666817,160011163,01/01/2016,12/31/2015,16:00:00,01/01/2016,09:55:00,102,,1116,870 MAYSON TURNER RD NW,0511,2202,,2,Unk,Fri,20,BURGLARY-RESIDENCE,Vine City,L,-84.416290000000004,33.756
5666818,160011197,01/01/2016,12/30/2015,17:00:00,01/01/2016,10:21:00,102,,1423,870 MAYSON TURNER RD NW,0640,2305,,1,Unk,Unk,18,LARCENY-FROM VEHICLE,Vine City,L,-84.416290000000004,33.756
5666819,160011215,01/01/2016,12/31/2015,11:00:00,01/01/2016,12:00:00,602,,,820 RALPH MCGILL BLVD NE @TWO URBAN LICKS,0640,2305,,1,Unk,Thu,99,LARCENY-FROM VEHICLE,Poncey-Highland,N,-84.361490000000003,33.768799999999999
5666820,160011366,01/01/2016,12/30/2015,14:15:00,01/01/2016,12:20:00,607,,,1123 VICKERS ST SE,0511,2202,,2,Unk,Unk,20,BURGLARY-RESIDENCE,Woodland Hills,W,-84.352369999999993,33.721649999999997
5666821,160011390,01/01/2016,01/01/2015,12:41:00,01/01/2015,12:42:00,102,,,900 JOSEPH E BOONE BLVD NW,0630,2303,,1,Day,Thu,17,LARCENY-NON VEHICLE,Vine City,L,-84.416880000000006,33.763370000000002
5666822,160011403,01/01/2016,12/30/2015,20:00:00,12/31/2015,07:00:00,612,,,451 MCWILLIAMS AVE SE,0640,2305,,1,Morn,Thu,13,LARCENY-FROM VEHICLE,East Atlanta,W,-84.336320000000001,33.741529999999997
